x,y,z,Type,State,extra
48,74,80,1,7,0|379|37|14
73,88,75,1,7,0|9|26|5
74,76,70,1,7,0|9|0|7
56,60,68,1,7,0|9|48|10
81,70,84,1,7,0|9|51|5
66,81,84,1,7,0|9|0|7
49,65,74,1,7,0|379|0|14
58,71,86,1,7,0|9|26|7
72,83,86,1,7,0|9|0|7
64,65,81,1,7,0|9|45|10
69,66,77,1,7,0|9|0|6
53,56,74,1,7,0|9|0|12
79,73,71,1,7,0|9|28|5
78,67,80,1,7,0|9|48|5
60,67,79,1,7,0|9|0|12
68,77,73,1,7,0|9|0|8
82,78,82,1,7,0|9|68|5
61,74,86,1,7,0|9|0|9
51,67,68,1,7,0|9|16|11
77,78,68,1,7,0|9|8|5
62,65,80,1,7,0|9|0|11
83,80,70,1,7,0|9|28|5
70,83,81,1,7,0|9|0|8
49,58,79,1,7,0|9|34|11
57,78,76,1,7,0|9|14|8
71,82,71,1,7,0|9|0|6
73,73,80,1,7,0|9|0|9
74,84,88,1,7,0|9|16|6
62,66,87,1,7,0|9|26|10
50,70,82,1,7,0|9|41|9
58,83,78,1,7,0|9|42|7
70,80,66,1,7,0|9|9|5
70,87,81,1,7,0|9|15|6
74,88,84,1,7,0|9|29|5
73,70,70,1,7,0|9|10|5
55,58,70,1,7,0|9|0|11
60,65,83,1,7,0|9|39|9
63,67,81,1,7,0|9|0|9
45,82,78,1,7,0|116|57|14
64,80,89,1,7,0|9|5|7
72,86,84,1,7,0|9|66|5
53,68,78,1,7,0|9|0|11
74,70,83,1,7,0|9|0|8
68,65,83,1,7,0|9|0|7
62,70,77,1,7,0|9|0|11
54,73,72,1,7,0|9|51|8
46,61,71,1,7,0|9|46|10
38,62,53,1,7,0|116|49|18
45,61,76,1,7,0|9|27|10
51,70,82,1,7,0|9|41|9
69,76,79,1,7,0|9|0|13
68,73,87,1,7,0|9|0|9
55,74,78,1,7,0|9|23|9
75,86,82,1,7,0|9|8|5
73,68,91,1,7,0|9|3|7
49,56,77,1,7,0|9|39|11
77,76,84,1,7,0|9|0|8
71,69,91,1,7,0|9|54|6
57,67,71,1,7,0|9|20|9
68,74,72,1,7,0|65|0|14
78,79,74,1,7,0|9|0|7
49,68,73,1,7,0|9|0|11
61,63,83,1,7,0|9|48|10
64,76,88,1,7,0|9|0|8
64,81,78,1,7,0|9|0|9
78,76,76,1,7,0|9|0|8
69,88,77,1,7,0|9|32|5
74,65,78,1,7,0|9|48|5
71,70,86,1,7,0|9|0|8
75,86,81,1,7,0|9|0|6
68,74,90,1,7,0|9|20|7
62,74,77,1,7,0|9|0|12
68,71,70,1,7,0|65|30|13
62,83,75,1,7,0|9|15|6
80,86,75,1,7,0|9|10|5
57,77,83,1,7,0|9|0|7
66,71,94,1,7,0|9|52|6
81,75,73,1,7,0|9|0|6
68,85,73,1,7,0|9|3|6
70,83,89,1,7,0|9|65|5
69,68,78,1,7,0|9|0|8
63,78,69,1,7,0|9|57|14
66,72,88,1,7,0|9|0|8
68,68,71,1,7,0|65|51|13
66,77,80,1,7,0|9|0|11
44,63,68,1,7,0|9|40|14
62,69,77,1,7,0|9|0|11
51,64,71,1,7,0|379|0|13
81,82,71,1,7,0|9|27|5
