x,y,z,Type,State,extra
25,56,16,1,7,0|17016|47552020|9
60,89,1,1,7,0|5724|47459939|9
74,38,5,1,7,0|1465|47568640|9
95,36,4,1,7,0|20734|47617659|9
63,28,11,1,7,0|2937|47346592|9
90,111,14,1,7,0|9445|47629489|9
16,39,12,1,7,0|8936|47454885|9
1,38,13,1,7,0|2022|47502386|9
86,150,19,2,5,0
1,122,11,1,7,0|26913|47629932|9
65,12,5,1,7,0|1695|47434253|9
7,6,19,1,7,0|21908|47494077|9
33,25,11,1,7,0|24661|47505006|9
55,26,6,1,7,0|11681|47383279|9
19,7,5,1,7,0|5675|47417750|9
80,12,13,1,7,0|1262|47421460|9
84,23,19,1,7,0|72599|47576437|9
11,0,9,2,5,0
8,46,4,1,7,0|61574|47531188|9
38,36,17,1,7,0|57072|47589764|9
26,37,19,1,7,0|1695|47446358|9
45,195,7,2,5,0
38,72,1,1,7,0|7620|47441746|9
65,2,1,1,7,0|21254|47587908|9
75,42,4,1,7,0|5903|47632758|9
104,47,2,1,7,0|5675|47534745|9
51,71,3,1,7,0|265|47522178|9
53,25,11,1,7,0|732|47375109|9
105,7,11,1,7,0|507|47426702|9
72,50,3,1,7,0|30048|47521513|9
15,39,9,1,7,0|3126|47447564|9
14,15,0,1,7,0|1566|47378851|9
56,6,8,1,7,0|1803|47576930|9
55,76,14,1,7,0|3445|47452849|9
107,39,9,2,4,0
10,23,15,1,7,0|17081|47402967|9
31,62,14,2,5,0
38,19,2,1,7,0|11548|47405296|9
76,34,6,1,7,0|6675|47465913|9
67,45,14,1,7,0|16799|47593464|9
38,49,5,1,7,0|7323|47470943|9
5,89,4,1,7,0|459|47361313|9
6,30,17,1,7,0|10730|47360230|9
16,42,5,1,7,0|1612|47358404|9
32,96,10,1,7,0|327|47497213|9
76,19,18,1,7,0|8115|47594724|9
79,7,13,1,7,0|5140|47400559|9
39,57,16,2,5,0
23,29,4,1,7,0|3707|47405468|9
113,14,14,1,7,0|4751|47609140|9
56,51,13,1,7,0|53116|47495191|9
102,83,12,1,7,0|3006|47595792|9
56,160,14,1,7,0|2023|47485531|9
70,16,12,1,7,0|10587|47470696|9
56,70,4,1,7,0|51199|47481439|9
7,54,6,1,7,0|21583|47397015|9
94,1,1,1,7,0|8115|47502666|9
5,31,6,1,7,0|295|47338440|9
33,44,19,1,7,0|66355|47578485|9
76,14,7,1,7,0|47073|47581010|9
34,49,13,1,7,0|13122|47380949|9
40,73,16,1,6,0|104284|32|0
45,47,15,1,7,0|7759|47438195|9
93,12,19,1,6,0|20328|8|0
71,6,15,1,7,0|34438|47454129|9
8,78,2,2,5,0
4,78,19,1,7,0|28302|47442414|9
63,8,17,1,7,0|1479|47566696|9
101,51,8,1,7,0|11681|47502031|9
41,15,0,1,7,0|1479|47351008|9
110,80,4,1,7,0|1755|47540800|9
34,13,0,1,7,0|714|47355174|9
92,11,12,1,7,0|59127|47634165|9
27,82,5,1,7,0|18889|47463916|9
29,39,18,1,7,0|820|47512495|9
50,32,3,1,6,0|62854|1|0
68,5,2,1,7,0|7722|47521812|9
44,12,17,1,7,0|15352|47513429|9
37,60,11,1,7,0|37623|47497905|9
83,29,3,1,7,0|8499|47529221|9
114,53,19,1,7,0|19329|47508153|9
72,10,3,1,7,0|633|47429822|9
55,31,8,1,7,0|32660|47491288|9
78,25,12,1,7,0|43026|47606861|9
14,22,6,1,7,0|1133|47399227|9
7,20,10,1,7,0|696|47429941|9
17,17,14,1,7,0|5802|47359092|9
72,99,3,1,7,0|39988|47590307|9
75,72,9,1,7,0|40763|47502386|9
72,89,10,1,7,0|17631|47435996|9
16,63,4,1,7,0|1742|47451535|9
32,32,16,1,6,0|1466|36|0
4,38,12,1,7,0|18853|47541436|9
63,13,17,1,7,0|36110|47602187|9
72,5,12,1,7,0|4835|47439987|9
103,13,14,1,7,0|14314|47476823|9
67,21,8,1,7,0|12481|47585823|9
107,91,16,3,0,0
28,77,12,1,7,0|1534|47427552|9
56,62,18,1,7,0|13962|47524802|9
44,71,17,1,7,0|1817|47391936|9
31,144,4,1,7,0|78871|47607568|9
21,77,6,1,7,0|50208|47530866|9
53,46,15,1,7,0|24376|47595072|9
70,58,18,1,7,0|63819|47603792|9
10,36,11,1,6,0|93550|18|0
77,8,2,1,7,0|1262|47350387|9
35,26,19,1,7,0|6907|47494077|9
31,4,17,1,7,0|17013|47369237|9
73,17,1,1,7,0|63416|47590739|9
15,87,15,1,7,0|28980|47587415|9
3,68,12,1,7,0|2889|47544369|9
100,16,16,1,7,0|25386|47528913|9
106,5,17,1,7,0|7045|47488977|9
31,75,1,1,7,0|17499|47626783|9
27,36,8,1,7,0|5571|47541436|9
38,48,14,1,7,0|21019|47471705|9
7,39,17,1,7,0|31113|47558529|9
15,13,16,1,7,0|1294|13646487|9
88,7,0,1,7,0|1967|47434092|9
39,40,5,1,7,0|6675|47534551|9
84,38,8,1,7,0|25678|47540800|9
48,56,17,1,7,0|9042|47562219|9
91,28,3,1,7,0|25308|47538263|9
19,11,6,1,7,0|9042|47416088|9
21,32,5,1,7,0|2185|47403704|9
3,3,14,1,7,0|389|16416940|9
67,5,8,1,7,0|5549|47595072|9
32,16,14,1,7,0|26156|47489144|9
7,14,13,1,7,0|3638|47347830|9
50,83,16,1,7,0|14193|47441306|9
0,23,12,1,7,0|2889|47330548|9
99,37,3,1,7,0|4083|47545415|9
59,74,13,1,7,0|15873|47592663|9
24,42,11,1,7,0|21019|47504394|9
89,68,13,1,7,0|17717|47462249|9
49,29,16,1,7,0|168|47591271|9
67,10,1,1,7,0|2889|47587415|9
34,16,6,1,7,0|7202|47569111|9
34,9,3,1,7,0|5467|47343906|9
27,71,17,1,7,0|12827|47492102|9
58,13,19,1,7,0|10475|47604794|9
35,53,7,1,7,0|1109|47598730|9
45,2,16,1,7,0|3795|47457868|9
40,31,1,1,7,0|1695|47356475|9
34,99,2,1,7,0|17179|47622161|9
136,121,3,2,5,0
6,100,4,1,7,0|278|47418864|9
37,37,3,1,7,0|50545|47573892|9
42,1,19,1,7,0|6346|47613324|9
29,21,9,1,7,0|24615|47513743|9
56,86,0,1,7,0|34311|47447186|9
61,51,7,1,7,0|88176|47612162|9
3,45,8,1,7,0|1109|47343371|9
14,56,2,1,7,0|37838|47526094|9
19,83,3,1,7,0|9584|47438195|9
98,27,18,1,6,0|29346|11|0
89,19,8,1,7,0|27773|47535854|9
25,6,3,1,7,0|16933|47387072|9
22,28,16,1,7,0|985|47347440|9
53,54,5,1,7,0|26475|47614146|9
85,5,4,1,7,0|6907|47390404|9
2,7,12,1,7,0|182|33006004|9
42,45,5,1,7,0|75892|47533719|9
195,15,17,2,3,0
35,57,15,1,7,0|35559|47598516|9
119,4,2,2,5,0
33,29,1,1,7,0|3832|47362708|9
14,5,2,1,7,0|2503|47337918|9
30,0,15,1,7,0|48135|47504701|9
103,13,18,1,7,0|66351|47625492|9
30,25,10,1,7,0|55773|47531499|9
25,56,18,1,7,0|32871|47604062|9
43,19,8,1,7,0|539|47398016|9
26,20,17,1,7,0|32927|47441857|9
3,6,13,1,7,0|3316|47401281|9
42,79,12,1,7,0|8834|47453609|9
27,44,7,1,7,0|1109|47473052|9
5,93,6,1,7,0|25035|47625177|9
0,45,1,1,7,0|1568|47349536|9
43,70,7,1,7,0|1041|47413920|9
78,1,18,1,7,0|29346|47447072|9
5,7,4,1,7,0|1977|47332203|9
86,35,6,1,7,0|787|47452849|9
0,39,14,1,7,0|7717|47521513|9
76,112,15,1,7,0|22809|47518874|9
6,14,1,1,7,0|325|47323515|9
87,44,18,1,7,0|52056|47558916|9
11,74,10,1,7,0|14317|47604794|9
0,42,17,1,7,0|2661|47361344|9
14,97,3,1,7,0|53099|47620061|9
76,1,10,1,7,0|25277|47454409|9
10,40,6,1,7,0|71339|47561564|9
19,138,14,1,7,0|31278|47570235|9
37,26,17,1,7,0|1134|47517284|9
30,9,0,1,6,0|14212|25|0
84,18,17,1,7,0|11485|47460430|9
20,32,19,1,7,0|21842|47442610|9
53,101,9,1,7,0|811|47629046|9
33,104,15,1,7,0|10450|47476382|9
60,44,10,1,7,0|13664|47377126|9
74,76,16,1,7,0|18395|47429371|9
24,17,7,1,7,0|4835|47413243|9
58,22,7,1,7,0|16071|47521513|9
52,30,4,1,7,0|24057|47518874|9
50,39,6,1,7,0|38731|47561225|9
68,3,6,1,7,0|13341|47388723|9
74,28,0,1,7,0|4226|47361971|9
22,15,16,1,7,0|3228|47364796|9
25,20,6,1,7,0|16803|47420061|9
19,29,14,1,7,0|861|47524621|9
62,23,10,1,7,0|59127|47553717|9
12,58,5,1,7,0|3375|47444109|9
6,72,14,1,6,0|12272|23|0
77,31,2,1,7,0|61686|47562219|9
33,129,9,1,7,0|6870|47593061|9
47,96,16,1,7,0|5223|47405966|9
67,68,7,1,7,0|3817|47505775|9
4,49,2,1,7,0|971|47366305|9
42,10,17,1,7,0|2262|47415296|9
15,48,15,1,7,0|21583|47591482|9
36,23,9,1,7,0|325|47343999|9
3,87,11,1,7,0|176|47578758|9
50,15,16,2,5,0
17,38,16,1,7,0|79486|47564011|9
19,54,7,1,7,0|40962|47561894|9
24,99,13,1,7,0|2827|47383279|9
48,28,9,1,6,0|15326|31|0
54,81,1,1,7,0|34311|47440945|9
4,36,15,1,7,0|1134|47400559|9
25,55,6,1,7,0|27420|47634461|9
29,57,3,1,7,0|2185|47331266|9
35,5,9,1,7,0|4835|47372934|9
12,44,2,1,7,0|6942|47521812|9
41,10,11,1,7,0|1299|47501477|9
59,33,18,1,7,0|1305|47365645|9
108,54,7,1,7,0|23127|47595072|9
22,23,17,1,7,0|1725|47336940|9
13,17,11,1,7,0|8128|47342975|9
0,16,15,1,7,0|13760|47426297|9
34,42,11,1,7,0|787|47336633|9
14,62,13,1,7,0|8896|47454409|9
6,15,5,1,7,0|3091|47382088|9
17,18,5,1,7,0|539|47341692|9
57,19,10,1,7,0|63979|47510090|9
61,7,5,1,6,0|5549|27|0
109,51,15,1,7,0|38496|47510395|9
83,20,11,1,7,0|2716|47367064|9
105,73,14,1,7,0|1613|47488450|9
35,24,15,1,7,0|24879|47588161|9
51,54,7,1,7,0|5724|47354683|9
18,66,8,1,7,0|650|47382219|9
12,74,17,1,7,0|4165|47538752|9
23,35,14,1,7,0|27115|47431802|9
11,76,16,1,7,0|29596|47615758|9
83,15,4,1,7,0|3790|47391250|9
16,16,12,1,7,0|1817|47417547|9
112,60,16,1,7,0|6067|47429271|9
31,79,1,1,7,0|38731|47606502|9
76,56,2,1,7,0|2047|47553081|9
54,39,15,1,7,0|738|47346524|9
30,50,12,1,7,0|36475|47492635|9
5,52,1,1,7,0|5283|47512844|9
68,86,14,1,7,0|26982|47550676|9
97,95,5,1,6,0|19728|26|0
11,54,9,1,7,0|1067|47377326|9
52,6,9,1,7,0|15149|47549949|9
31,22,16,1,7,0|568|47363549|9
75,27,10,1,7,0|1641|47494617|9
49,40,11,1,7,0|16695|47616056|9
50,34,16,1,7,0|3228|47445092|9
10,26,10,1,7,0|7074|47367593|9
52,40,13,1,7,0|2267|47401966|9
25,74,6,1,7,0|1817|47544369|9
28,83,18,1,7,0|90905|47607977|9
45,26,17,1,7,0|12041|47535854|9
1,89,8,1,7,0|193|47411716|9
107,46,11,1,7,0|34934|47630413|9
42,1,17,1,7,0|25614|47394115|9
25,33,18,1,7,0|28771|47421784|9
46,9,19,1,7,0|31556|47511629|9
21,41,7,1,7,0|29536|47435598|9
56,0,4,1,7,0|1547|47565725|9
2,26,15,1,7,0|2889|47329834|9
18,51,5,1,7,0|2661|47382979|9
77,28,11,1,7,0|122|47536096|9
33,71,6,1,7,0|6493|47501477|9
39,50,11,1,7,0|10031|47541114|9
6,55,3,1,7,0|50833|47621871|9
136,72,15,2,5,0
14,12,14,1,7,0|1566|47373014|9
44,36,11,1,7,0|1041|47365563|9
14,18,1,1,7,0|1170|47355889|9
33,85,12,1,7,0|5420|47363088|9
77,24,0,1,7,0|11629|47539074|9
9,99,14,1,7,0|34309|47557477|9
33,103,0,1,7,0|255|47382827|9
8,35,14,1,7,0|16803|47410439|9
88,28,4,1,7,0|8008|47509059|9
13,69,18,1,7,0|6117|47379585|9
61,15,18,1,7,0|45999|47554457|9
20,22,10,1,7,0|1562|47339336|9
64,7,9,1,7,0|5256|47486052|9
24,150,15,2,4,0
20,73,11,1,7,0|1742|47524015|9
44,44,1,1,7,0|13114|47357805|9
46,47,10,1,7,0|17218|47391877|9
41,22,5,1,7,0|1299|47361389|9
62,16,10,1,7,0|5574|47340535|9
57,41,10,1,7,0|122|47625177|9
60,27,18,1,7,0|13|47553081|9
53,40,6,1,7,0|45434|47503512|9
28,112,13,1,7,0|474|47393732|9
53,15,12,1,7,0|5777|47409610|9
34,2,4,1,7,0|22537|47545901|9
43,35,13,1,7,0|7043|47587197|9
33,48,3,1,7,0|13009|47415795|9
9,50,2,1,7,0|17585|47448033|9
1,58,3,1,7,0|3246|47354450|9
25,5,18,1,7,0|21739|47448286|9
13,59,0,1,7,0|4666|47361389|9
55,43,19,1,6,0|44086|7|0
73,47,13,1,7,0|69828|47568014|9
78,18,18,1,7,0|32069|47598516|9
113,35,8,1,7,0|3215|47543446|9
37,65,16,1,7,0|15731|47527339|9
17,7,11,1,7,0|16083|47406825|9
17,24,7,1,7,0|732|47369706|9
51,75,8,1,7,0|10031|47411206|9
17,66,13,1,7,0|13416|47370614|9
160,112,11,2,4,0
38,17,17,1,7,0|586|47397174|9
37,22,13,1,7,0|1748|47352979|9
